answer,tags,question,a,b,c,d,,,
d,"Real Property,  Cotenancy and Landlord-Tenant","A man owned in fee simple a farm of 500 acres. He died and by will duly admitted to probate devised the farm to his surviving widow for life with remainder in fee simple to his three children. All three children survived the man.At the time of the man’s death, there existed a mortgage on the farm that the man had given ten years before to secure a loan for the purchase of the farm. At his death, there remained unpaid $40,000 in principal, payable in installments of $4,000 per year for the next ten years. In addition, there was due interest at the rate of 10% per annum, payable annually with the installment of principal. The widow took possession and out of a gross income of $50,000 per year realized $25,000 net after paying all expenses and charges except the installment of principal and interest due on the mortgage.Two of the children wanted all three children to each contribute one-third of the amounts needed to pay the mortgage installments. The third child objected, saying that the widow should pay all of these amounts out of the profits she had made in operation of the farm. When foreclosure of the mortgage seemed imminent, the third child sought legal advice.If the third child obtained sound advice relating to her rights, she was told that",her only protection would lie in instituting an action for partition to compel the sale of the life estate of the widow and to obtain the value of the third child’s one-third interest in remainder.,she could obtain appropriate relief to compel the widow personally to pay the sums due because the income is more than adequate to cover these amounts.,she could be compelled personally to pay her share of the amounts due because discharge of the mortgage enhances the principal.,she could not be held personally liable for any amount but that her share in remainder could be lost if the mortgage installments are not paid.,,,
d,"Contracts,  Uniform Commercial Code","A radio manufacturer and a retailer, after extensive negotiations, entered into a final, written agreement in which the manufacturer agreed to sell and the retailer agreed to buy all of its requirements of radios, estimated at 20 units per month, during the period January 1, 1988, and December 31, 1990, at a price of $50 per unit. A dispute arose in late December, 1990, when the retailer returned 25 undefective radios to the manufacturer for full credit after the manufacturer had refused to extend the contract for a second three-year period.In an action by the manufacturer against the retailer for damages due to return of the 25 radios, the manufacturer introduces the written agreement, which expressly permitted the buyer to return defective radios for credit but was silent as to return of undefective radios for credit. The retailer seeks to introduce evidence that during the three years of the agreement it had returned, for various reasons, 125 undefective radios, for which the manufacturer had granted full credit. The manufacturer objects to the admissibility of this evidence.The trial court will probably rule that the evidence proffered by the retailer is","inadmissible, because the evidence is barred by the parol evidence rule.","inadmissible, because the express terms of the agreement control when those terms are inconsistent with the course of performance.","admissible, because the evidence supports an agreement that is not within the relevant statute of frauds.","admissible, because course-of-performance evidence, when available, is considered the best indication of what the parties intended the writing to mean.",,,
c,"Contracts,  Common Law Contracts","A woman prepared an accurate statement of her financial condition and submitted it with a loan application to a local bank with which she had done business for many years. Shortly thereafter, the woman's financial condition worsened significantly, but she failed to disclose this fact to the bank. Unaware of the woman's changed financial condition, the bank then agreed to lend money to the woman.The bank later learned of the woman's true financial condition. The bank refused to honor its promise to lend money to the woman, contending that the parties' contract was voidable at the bank's option because of the woman's misrepresentation.If the woman sues the bank for breach of contract, will the bank's misrepresentation defense likely succeed?","No, because the woman did not make any subsequent affirmative misrepresentations about her financial condition.","No, because the woman's representations were accurate at the time she submitted the loan application to the bank.","Yes, because the woman had an obligation to correct her previous representations about her financial condition in order to prevent them from being fraudulent.","Yes, because the woman had an obligation to tell the bank about her changed financial condition due to the longstanding relationship of trust and confidence between them.",,,
c,Civil Procedure,"A company incorporated and headquartered in State A sued a plumber domiciled in State B in a federal court in State A, alleging that the plumber had negligently installed pipes in a manner that resulted in $250,000 in damage to the company's headquarters building. In response to the complaint, the plumber filed a motion to dismiss for lack of personal jurisdiction. The court denied the motion. Thereafter, the plumber did not file an answer or any other response to the company's action.Sixty days after the court's order denying the motion to dismiss, the company asked the clerk to enter default, and the clerk did so. The company applied to the court for the entry of a default judgment and notified the plumber three days before the default judgment hearing. After an ex parte hearing in which the court received evidence on the damages amount, the court entered a default judgment for the full amount sought. Ten days later, the plumber filed a motion to set aside the default judgment.Is the court likely to grant the plumber's motion?","No, because the court could fix the amount of damages even without hearing the plumber's evidence.","No, because the plumber failed to plead or otherwise defend against the company's action.","Yes, because the plumber was not given adequate notice of the hearing on the company's application for the entry of a default judgment.","Yes, because the State A federal court lacked personal jurisdiction over the plumber as a State B citizen.",,,
c,"Civil Procedure,  Jurisdiction/Venue","A woman resident of San Francisco, California, brought a personal injury claim in Federal District Court in California, Northern District, against: (1) first corporation, a corporation incorporated in Delaware with its principal place of business in New York; and (2) second corporation, a corporation incorporated in Arizona with its principal place of business in Nevada. First corporation manufactured the machine which badly mangled the woman’s hand and arm when it malfunctioned while she was using it at her place of work in San Francisco, and second corporation negligently inspected the machine shortly before the accident which injured the woman. Second corporation maintains its offices, from which it sends maintenance crews throughout California, in San Diego, in the Southern District of California.If second corporation moves for a change of venue from the Northern District to the Southern District, which is the most likely basis on which the court would find that venue in the Southern District is proper?",The Southern District is one in which second corporation resides.,There is personal jurisdiction over second corporation throughout the state.,"Second corporation maintains its offices in the Southern District, and thus is subject to personal jurisdiction in the Southern District.",First corporation is subject to jurisdiction anywhere in California and thus cannot object to changes in venue.,,,
a,"Evidence,  Impeachment of Witnesses","Defendant was prosecuted for sexually abusing his 13-year-old stepdaughter. The stepdaughter testified to Defendant's conduct. On cross-examination, defense counsel asks the stepdaughter, ""Isn't it true that shortly before you complained that Defendant abused you, he punished you for maliciously ruining some of his CD’s?""The question is:","proper, because it relates to a possible motive for the stepdaughter to accuse Defendant falsely.","proper, because the stepdaughter 's misconduct is relevant to her character for veracity.","improper, because the incident had nothing to do with the stepdaughter's truthfulness.","improper, because it falls outside the scope of direct examination.",,,
c,"Criminal Law & Procedure,  Crimes","A man entered the county museum at a time when it was open to the public, intending to steal a Picasso etching. Once inside, he took what he thought was the etching from an unlocked display case and concealed it under his coat. However, the etching was a photocopy of an original that had been loaned to another museum. A sign over the display case containing the photocopy said that similar photocopies were available free at the entrance. The man did not see the sign.Burglary in the jurisdiction is defined as “entering a building unlawfully with the intent to commit a crime.”The man is guilty of",burglary and larceny.,burglary and attempted larceny.,larceny.,attempted larceny.,,,
c,"Constitutional Law,  Individual Rights","Insurance is provided in a State only by private companies. Although the state insurance commissioner inspects insurance companies for solvency, the state does not regulate their rates or policies. An insurance company charges higher rates for burglary insurance to residents of one part of a county in the State than to residents of another section of the same county because of the different crime rates in those areas.A woman is a resident of that county who was charged the higher rate by the insurance company because of the location of her residence. The woman sues the insurance company, alleging that the differential in insurance rates unconstitutionally denies her the equal protection of the laws. Will the woman's suit succeed?","Yes, because the higher crime rate in the woman's neighborhood demonstrates that the county police are not giving persons who reside there the equal protection of the laws.","Yes, because the insurance rate differential is inherently discriminatory.","No, because the constitutional guarantee of equal protection of the laws is not applicable to the actions of these insurance companies.","No, because there is a rational basis for the differential in insurance rates.",,,
a,"Criminal Law & Procedure,  Crimes","A bank teller, was fired by the president of the bank. The teller decided to take revenge against the bank president, but decided against attempting it personally, because he knew that the bank president was protected around the clock by bank security guards. The teller knew that his friend had a violent temper and was very jealous. The teller falsely told the friend that the friend’s wife was having an affair with the bank president. Enraged, the friend said, “What am I going to do?” The teller said, “If it were my wife, I’d just march into his office and blow his brains out.” The friend grabbed a revolver and rushed to the bank. He walked into the bank, carrying the gun in his hand. One of the security guards, believing that a holdup was about to occur, shot and killed the friend.If charged with the murder of the friend, the teller should be found:","guilty, based upon extreme recklessness.","guilty, based upon transferred intent.","not guilty, because he did not intend for the friend to be shot by the security guard.","not guilty, because he did not shoot the friend and he was not acting in concert with the security guard.",,,
a,"Criminal Law & Procedure,  Criminal Procedure","Without a warrant, police officers searched the garbage cans in the alley behind a man's house and discovered chemicals used to make methamphetamine, as well as cooking utensils and containers with the man's fingerprints on them. The alley was a public thoroughfare maintained by the city, and the garbage was picked up once a week by a private sanitation company. The items were found inside the garbage cans in plastic bags that had been tied closed and further secured with tape. The man was charged in federal court with the manufacture of methamphetamine.Did the search of the garbage cans violate the Fourth Amendment?","No, because the man had no reasonable expectation of privacy in garbage left in the alley.","No, because the probative value of the evidence outweighs the man's modest privacy claims in his garbage.","Yes, because the alley was within the curtilage of the man's home and entry without a warrant was unconstitutional.","Yes, because there is a reasonable expectation of privacy in one's secured garbage containers.",,,
d,"Constitutional Law,  Powers","A new, comprehensive federal statute was recently enacted to deal with the public health crisis caused by opioid addiction. Congress and the President were concerned that inconsistent lower court rulings with respect to the constitutionality, interpretation, and application of the statute might adversely affect or delay its enforcement and, thereby, jeopardize the public health. As a result, they included a provision in the statute providing that all legal challenges concerning those matters may be initiated only by filing suit directly in the United States Supreme Court.The provision authorizing direct review of the constitutionality, interpretation, or application of this statute only in the United States Supreme Court is:","constitutional, because it is authorized by the Article I power of Congress to enact all laws that are ""necessary and proper"" to implement the general welfare.","constitutional, because Article III provides that the jurisdiction of the United States Supreme Court is subject to such exceptions and such regulations as Congress shall make.","unconstitutional, because it denies persons who wish to challenge this statute the equal protection of the laws by requiring them to file suit in a court different from that in which persons who wish to challenge other statutes may file suit.","unconstitutional, because it is inconsistent with the specification in Article III of the original jurisdiction of the United States Supreme Court.",,,
c,"Criminal Law & Procedure,  Criminal Procedure","A defendant was convicted of fraud after a jury trial in state court. The conviction was affirmed on direct appeal.The defendant timely moved for postconviction relief under the Sixth Amendment on the ground that his attorney had provided ineffective assistance of counsel. The trial judge, after a hearing, found that the attorney had performed deficiently by failing to raise a proper objection that would have resulted in exclusion of important prosecution evidence.What more, if anything, must the trial court find in order to sustain the defendant's Sixth Amendment claim?","Nothing more, because the unjustifiable failure to object to important prosecution evidence is structural error.",That the attorney was court-appointed and not privately retained.,That there is a reasonable probability that the trial's outcome would have been different if the attorney had objected.,That there is clear and convincing evidence that the trial's outcome would have been different if the attorney had objected.,,,
d,"Criminal Law & Procedure,  Crimes","A young woman told a young man she would like to have sexual intercourse with him and that he should come to her apartment that night at 7 p.m. After the young man arrived, he and the young woman went into the bedroom. As the young man started to remove the young woman’s blouse, the young woman said she had changed her mind. The young man tried to convince her to have intercourse with him, but after ten minutes of her sustained refusals, the young man left the apartment. Unknown to the young man, the young woman was 15 years old. Because she appeared to be older, the young man believed her to be about 18 years old.A statute in this jurisdiction provides: “A person commits rape in the second degree if he has sexual intercourse with a girl, not his wife, who is under the age of 16 years.”If the young man is charged with attempting to violate this statute, he is","guilty, because no mental state is required as to the element of age.","guilty, because he persisted after she told him she had changed her mind.","not guilty, because he reasonably believed she had consented and voluntarily withdrew after she told him she had changed her mind.","not guilty, because he did not intend to have intercourse with a girl under the age of 16.",,,
a,"Contracts,  Common Law Contracts","For this question only, assume the following facts. If the man had started to paint on the following Saturday morning, he could have finished before Sunday evening. However, he stayed home that Saturday morning to watch the final game of the World Series on TV, and did not start to paint until Saturday afternoon. By late Saturday afternoon, the man realized that he had underestimated the time it would take to finish the job if he continued to work alone. The man phoned the woman at her home and accurately informed her that it was impossible to finish the work over the weekend unless he hired a helper. He also stated that to do so would require an additional charge of $200 for the work. The woman told the man that she apparently had no choice but to pay “whatever it takes” to get the work done as scheduled.The man hired another painter to help finish the painting and paid the other painter $200. The woman has offered to pay the man $1,000. The man is demanding $1,200.How much is the man likely to recover?","$1,000 only, because the woman received no consideration for her promise to pay the additional sum.","$1,000 only, because the woman’s promise to pay “whatever it takes” is too uncertain to be enforceable.","$1,200, in order to prevent the woman’s unjust enrichment.","$1,200, because the impossibility of the man’s completing the work alone discharged the original contract and a new contract was formed.",,,
b,"Contracts,  Common Law Contracts","For this question only, assume the following facts. The man commenced work on Saturday morning, and had finished half the painting by the time he quit work for the day. That night, without the fault of either party, the office building was destroyed by fire.Which of the following is an accurate statement?","Both parties’ contractual duties are discharged, and the man can recover nothing from the woman.","Both parties’ contractual duties are discharged, but the man can recover in quasi-contract from the woman.","Only the man’s contractual duty is discharged, because the woman’s performance (payment of the agreed price) is not impossible.","Only the man’s contractual duty is discharged, and the man can recover his reliance damages from the woman.",,,
b,"Constitutional Law,  Individual Rights","A state law required vacant public school buildings to be sold at auction to the highest bidder. A church in a city located in the state wanted to acquire larger facilities for its school. The city's school board proposed a new state law that would authorize it to sell a vacant public school building, at a price below its fair market value, to the church for use as its school.If enacted, would this law be constitutional?","No, because a statute specially authorizing the sale of the building without competitive bidding would violate the equal protection clause of the Fourteenth Amendment.","No, because the transfer of the building to the church under these circumstances would constitute an establishment of religion prohibited by the First and Fourteenth Amendments.","Yes, because surplus government property is not subject to the limitations imposed by the establishment clause as incorporated into the Fourteenth Amendment.","Yes, because the law would not primarily or substantially support the religious activities of the church.",,,
c,"Real Property,  Cotenancy and Landlord-Tenant","A landlord leased an apartment to a tenant on a month-to-month basis beginning on the first of the month, with rent payable monthly. Five months into the lease, the tenant failed to pay rent. The landlord then sued the tenant for possession for nonpayment of rent. The tenant successfully defended this suit on the ground that the apartment was uninhabitable and that, accordingly, no rent was properly payable.On May 7, immediately following the court order in the tenant's favor, the landlord served the tenant with a written but not notarized notice to terminate the tenancy and to vacate the apartment on or before June 30.On July 1, the tenant was still in possession, nothing had changed, and the landlord brought an appropriate action for possession. The tenant prevailed.What is the most likely reason for the court's decision?",A six-month notice was required to terminate this periodic tenancy.,The landlord did not give the tenant a notarized notice of termination.,The landlord was attempting to terminate the tenancy as a reaction to the tenant's defense in the previous lawsuit.,"The landlord's notice to terminate was improper, because it was given to the tenant more than one month before the required termination date.",,,
a,"Constitutional Law,  Powers","In order to provide funds for a system of new major airports near the ten largest cities in the United States, Congress levies a tax of $25 on each airline ticket issued in the United States. The tax applies to every airline ticket, even those for travel that does not originate in, terminate at, or pass through any of those ten large cities. As applied to the issuance in the United States of an airline ticket for travel between two cities that will not be served by any of the new airports, this tax is:","constitutional, because Congress has broad discretion in choosing the subjects of its taxation and may impose taxes on subjects that have no relation to the purpose for which those tax funds will be expended.","constitutional, because an exemption for the issuance of tickets for travel between cities that will not be served by the new airports would deny the purchasers of all other tickets the equal protection of the laws.","unconstitutional, because the burden of the tax outweighs its benefits for passengers whose travel does not originate in, terminate at, or pass through any of the ten largest cities.","unconstitutional, because the tax adversely affects the fundamental right to travel.",,,
a,"Real Property,  Easements,  Covenants and Servitudes","A man conveyed the eastern half of a tract of vacant land to a woman by a warranty deed. The woman promptly recorded the deed. The land conveyed to the woman fronted on a public highway. The land retained by the man was landlocked.One year later, the man died intestate, leaving a cousin as his only heir. The cousin visited the man's land for the first time and discovered that it had no access to a public highway. A neighbor who owned adjoining land fronting on the public highway offered to sell the cousin a right to cross the neighbor's land for access to the highway. Although the neighbor's price was reasonable, the cousin rejected the offer. The woman has refused to allow the cousin to cross her land for access to the public highway even though the woman's land is still vacant.The cousin has sued the woman, seeking access across the woman's land to the public highway. Who is likely to prevail?","The cousin, based on necessity.","The cousin, because the woman's land is still vacant.","The woman, because the cousin could obtain an alternative access to the highway from the neighbor.","The woman, because the man failed to reserve an easement in his deed to the woman.",,,
c,"Evidence,  Policy Exclusions","Plaintiff sued Defendant for personal injuries sustained when Defendant's car hit Plaintiff, a pedestrian. Immediately after the accident, Defendant got out of his car, raced over to Plaintiff, and said, ""Don't worry, I'll pay your hospital bill.""Plaintiff 's testimony concerning Defendant's statement is:","admissible, because it is an admission of liability by a party opponent.","admissible, because it is within the excited utterance exception to the hearsay rule.","inadmissible to prove liability, because it is an offer to pay medical expenses.","inadmissible, provided that Defendant kept his promise to pay Plaintiff 's medical expenses.",,,
b,"Criminal Law & Procedure,  Crimes","One evening, a man had several drinks and then started to drive home. As he was proceeding down Main Boulevard, an automobile pulled out of a side street to his right. The man’s car struck this automobile broadside. The driver of the other car was killed as a result of the collision. A breath analysis test administered after the accident showed that the man satisfied the legal definition of intoxication.If the man is prosecuted for manslaughter, his best chance for acquittal would be based on an argument that",the other driver was contributorily negligent.,he collision would have occurred even if the man had not been intoxicated.,because of his intoxication he lacked the mens rea needed for manslaughter.,driving while intoxicated requires no mens rea and so cannot be the basis for misdemeanor manslaughter.,,,
a,"Contracts,  Common Law Contracts","A seller and a buyer, standing on a tract of real property, orally agreed to its sale and purchase for $5,000, and orally marked its bounds as “that line of trees down there, the ditch that intersects them, the fence on the other side, and that street on the fourth side.”In which of the following is the remedy of reformation most appropriate?","As later reduced to writing, the agreement by clerical mistake included two acres that are actually beyond the fence.","Buyer reasonably thought that two acres beyond the fence were included in the oral agreement but seller did not. As later reduced to writing, the agreement included the two acres.","Buyer reasonably thought that the price orally agreed upon was $4,500, but seller did not. As later reduced to writing, the agreement said $5,000.","Buyer reasonably thought that a dilapidated shed backed up against the fence was to be torn down and removed as part of the agreement, but seller did not. As later reduced to writing, the agreement said nothing about the shed.",,,
a,"Torts,  Products Liability/Strict Liability","A company operates an aircraft maintenance and repair business serving the needs of owners of private airplanes. A man contracted with the company to replace the engine in his plane with a more powerful engine of foreign manufacture. The company purchased the replacement engine through a representative of the manufacturer and installed it in the man's plane. A short time after it was put into use, the new engine failed, and the plane crashed into a warehouse, destroying the warehouse and its contents. The company was guilty of no negligence in the procurement, inspection, or installation of the engine. The failure of the engine was caused by a defect that would not be disclosed by inspection and testing procedures available to an installer. There was no negligence on the part of the man, who escaped the disabled plane by parachute.The warehouse owner recovered a judgment for damages from the man for the destruction of his warehouse and its contents, and the man has asserted a claim against the company to recover compensation on account of that liability. In that action, the man will recover:","full compensation, because the engine was defective;","no compensation, because the company was not negligent;","contribution only, because the company and the man were equally innocent;","no compensation, because the warehouse owner’s judgment established the man's responsibility to the warehouse owner.",,,
c,"Constitutional Law,  Individual Rights","To encourage the growth of its population, a State established a program that awarded $1,000 to the parents of each child born within the state, provided that at the time of the child's birth the mother and father of the newborn were citizens of the United States. Plaintiffs are aliens who are permanent residents of the United States and have resided in the State for three years. When their first child was born two months ago, they applied for and were denied the $1,000 award by State officials on the sole ground that they are not citizens of the United States. The Plaintiffs filed suit in federal court contending that their exclusion from the award program was unconstitutional. Assume no federal statute addresses this question.In this case, the court should hold that the exclusion of legal permanent resident aliens from the State award program is:","constitutional, because the Tenth Amendment reserves to the states plenary authority over the spending of state funds.","constitutional, because the State has a legitimate interest in encouraging the growth of its population, and a rational legislature could believe that families in which both parents are United States citizens are more likely to stay in the State and contribute to its future prosperity than those in which one or both of the parents are aliens.","unconstitutional, because strict scrutiny governs judicial review of such state classifications based on alienage, and the State cannot demonstrate that this classification is necessary to advance a compelling state interest.","unconstitutional, because state classifications based on alienage are impermissible unless explicitly authorized by an act of Congress.",,,
c,"Torts,  Intentional Torts","A pilot was flying his small plane when he experienced engine trouble and was forced to make an emergency landing. He landed the plane safely in a large yard behind a home located in a relatively remote area. Unfortunately, when he disembarked from the plane, he was attacked and injured by two large dogs kept by the homeowner to discourage trespassers. The homeowner, who had seen the plane land, had ordered the dogs to attack. Several months earlier, the homeowner had posted large signs around the perimeter of the yard warning of the dogs.Does the pilot have a viable claim against the homeowner for battery?","No, because the homeowner had provided adequate warning.","No, because the pilot was a trespasser.","Yes, because the pilot can invoke the privilege of necessity.","Yes, because the pilot could not reasonably have been expected to see the warning signs posted by the homeowner.",,,
c,"Civil Procedure,  Joinder","A woman and a man are both passengers on a bus owned and operated by a California corporation. The bus is negligently driven and collides with a truck on the freeway, and a number of passengers, including the woman and the man, are injured. The woman, a resident of New Mexico, files suit in Federal Court in California, claiming damages of $80,000. If the man files a motion seeking permission to join in the woman’s action, claiming damages of $20,000:","The motion will be denied, because the man cannot meet the amount in controversy requirement.","The motion will be denied, since the man cannot aggregate his claims with Pam’s.","The motion will be granted, since both claims arise out of the same occurrence and there is a question of law common to both parties.","The motion will be granted, solely on the basis of supplemental jurisdiction.",,,
c,"Constitutional Law,  Powers","City police officers shot and killed a man's friend as he attempted to escape arrest for an armed robbery he had committed. The man brought suit in federal district court against the City Police Department and the city police officers involved, seeking only a judgment declaring unconstitutional the state statute under which the police acted. That newly enacted statute authorized the police to use deadly force when necessary to apprehend a person who has committed a felony. In his suit, the man alleged that the police would not have killed his friend if the use of deadly force had not been authorized by the statute.The federal district court should:","decide the case on its merits, because it raises a substantial federal question.","dismiss the action, because it involves a nonjusticiable political question.","dismiss the action, because it does not present a case or controversy.","dismiss the action, because the Eleventh Amendment prohibits federal courts from deciding cases of this type.",,,
d,Civil Procedure,"The attorney for defendant in a case alleging that a product manufactured by defendant is toxic and harmful to humans retains a microbiologist as an expert in anticipation of trial to advise the attorney regarding the toxicity of the product and the risk, if any, it poses to humans. The microbiologist examines the product, conducts tests on it and prepares a report for the attorney. Which of the following statements is correct?","If the attorney does not expect to call the microbiologist as a witness at trial, the attorney must provide plaintiff’s attorney with a copy of the microbiologist’s report, but the microbiologist will not have to appear for deposition.","If the attorney does not expect to call the microbiologist as a witness at trial, the attorney must provide plaintiff’s attorney with a copy of the microbiologist’s report and Edward will have to appear for deposition if requested by plaintiff’s attorney.","If the attorney expects to call the microbiologist as a witness at trial, the attorney must provide plaintiff’s attorney with a copy of the microbiologist’s report and any drafts of the report reviewed by the attorney.","If the attorney expects to call the microbiologist as a witness at trial, the attorney must provide plaintiff’s attorney with a copy of the microbiologist’s report and the microbiologist will have to appear for deposition if requested by plaintiff’s attorney.",,,
c,Civil Procedure,"A plaintiff filed a tort action in state court but then failed to prosecute the action. The defendant moved to dismiss the action, and the court granted the motion in an order that stated: ""The defendant's motion to dismiss is granted, and this action is dismissed with prejudice."" The court accordingly entered judgment for the defendant.The plaintiff then filed the same claim against the defendant in federal court, invoking diversity jurisdiction. The defendant has asserted the defense of res judicata (claim preclusion) in its answer.Should the federal court give preclusive effect to the state court judgment?","No, because the judgment was entered by a state court, not a federal court.","No, because the state court did not rule on the merits in its dismissal.","Yes, because a dismissal with prejudice operates as a judgment on the merits.","Yes, because a judgment for failure to prosecute operates as a judgment on the merits under the Federal Rules of Civil Procedure.",,,
a,"Constitutional Law,  Powers","A man contracted with an interstate carrier, to ship household goods across country to his new home in a State. A federal statute provides that all liability of an interstate mover to a shipper for loss of or damage to the shipper's goods in transit is governed exclusively by the contract between them. The statute also requires the mover to offer a shipper at least two contracts with different levels of liability. In full compliance with that federal statute, the carrier offered the man a choice between two shipping agreements that provided different levels of liability on the part of the carrier. The more expensive contract provided that the carrier was fully liable in case of loss or damage. The less expensive contract limited the carrier's liability in case of loss or damage to less than full value. The man voluntarily signed the less expensive contract with the carrier, fixing the carrier's liability at less than the full value of the shipment.The carrier's truck was involved in an accident in the State. The accident was entirely a product of the negligence of the carrier's driver. The man's household goods were totally destroyed. In accordance with the contract, the carrier reimbursed the man for less than the full value of the goods. The man then brought suit against the carrier under the tort law of the State claiming that he was entitled to be reimbursed for the full value of the goods. The carrier filed a motion to dismiss.In this suit, the court should:","dismiss the case, because the federal statute governing liability of interstate carriers is the supreme law of the land and preempts state tort law.","dismiss the case, because the contractual relationship between the man and the carrier is governed by the obligation of contracts clause of the Constitution.","deny the motion to dismiss, because the full faith and credit clause of the Constitution requires that state tort law be given effect.","deny the motion to dismiss, because it is unconstitutional for a federal statute to authorize the carrier to contract out of any degree of liability for its own negligence.",,,
d,"Criminal Law & Procedure,  Crimes","The owner of a meatpacking company was charged under a state criminal code prohibiting the sale of contaminated meat. The state's highest court has construed the code as imposing strict and vicarious liability to the extent allowed by the federal Constitution.The evidence at trial established that the owner's company had sold contaminated meat that had sickened hundreds of consumers. It further showed, however, that the owner had been out of the country when the meat was sold and had had no reason to know that any of the meat was contaminated.The jury convicted the owner, and the court sentenced him to a large fine and probation. On appeal, the owner has challenged the sufficiency of the trial evidence.Should the appellate court uphold the conviction?","No, because there was insufficient proof of the owner's actus reus.","No, because there was insufficient proof of the owner's mens rea.","Yes, because an appellate court cannot second-guess a jury's verdict.","Yes, because the evidence was sufficient to support the jury’s verdict.",,,
b,"Constitutional Law,  Individual Rights","City operates a cemetery pursuant to a city ordinance. The ordinance requires the operation of the city cemetery to be supported primarily by revenues derived from the sale of cemetery lots to individuals. The ordinance further provides that the purchase of a cemetery lot entitles the owner to perpetual care of the lot, and entitles the owner to erect on the lot, at the owner's expense, a memorial monument or marker of the owner's choice, subject to certain size restrictions. The City ordinance requires the city to maintain the cemetery, including mowing the grass, watering flowers, and plowing snow, and provides for the expenditure of city tax funds for such maintenance if revenues from the sale of cemetery lots are insufficient. Although cemetery lots are sold at full fair market value, which includes the current value of perpetual care, the revenue from the sale of such lots has been insufficient in recent years to maintain the cemetery. As a result, a small amount of city tax funds has also been used for that purpose.A group of City taxpayers brings suit against City challenging the constitutionality of the city ordinance insofar as it permits the owner of a cemetery lot to erect a religious memorial monument or marker on his or her lot.Is this suit likely to be successful?","No, because only a small amount of city tax funds has been used to maintain the cemetery.","No, because the purpose of the ordinance is entirely secular, its primary effect neither advances nor inhibits religion, and it does not foster an excessive government entanglement with religion.","Yes, because city maintenance of any religious object is a violation of the establishment clause of the First Amendment as incorporated into the Fourteenth Amendment.","Yes, because no compelling governmental interest justifies authorizing private persons to erect religious monuments or markers in a city-operated cemetery.",,,
b,"Evidence,  Hearsay","In a civil action for personal injury, Plaintiff alleges that he was beaten up by Defendant during an altercation in a crowded bar. Defendant 's defense is that he was not the person who hit Plaintiff. To corroborate his testimony about the cause of his injuries, Plaintiff seeks to introduce, through the hospital records custodian, a notation in a regular medical record made by an emergency room doctor at the hospital where Plaintiff was treated for his injuries. The notation is: ""Patient says he was attacked by Defendant.""The notation is:","inadmissible, unless the doctor who made the record is present at trial and available for cross-examination.",inadmissible as hearsay not within any exception.,admissible as hearsay within the exception for records of regularly conducted activity.,admissible as a statement made for the purpose of medical diagnosis or treatment.,,,
a,"Evidence,  Character","Defendant was tried for the homicide of a girl whose strangled body was found beside a remote logging road with her hands taped together. After Defendant offered evidence of alibi, the state calls Witness to testify that Defendant had taped her hands and tried to strangle her in the same location two days before the homicide but that she escaped.The evidence is:","admissible, as tending to show Defendant is the killer.","admissible, as tending to show Defendant's violent nature.","inadmissible, because it is improper character evidence.","inadmissible, because it is unfairly prejudicial.",,,
d,"Contracts,  Uniform Commercial Code","Buyer ordered from Seller 500 bushels of No. 1 Royal Fuzz peaches, at a specified price, “for prompt shipment.” Seller promptly shipped 500 bushels, but by mistake shipped No. 2 Royal Fuzz peaches instead of the No. 1. The error in shipment was caused by the negligence of Seller’s shipping clerk.Which of the following best states Buyer’s rights and duties upon delivery of the peaches?",Seller’s shipment of the peaches was a counteroffer and Buyer can refuse to accept them.,"Seller’s shipment of the peaches was a counteroffer but, since peaches are perishable, Buyer, if it does not want to accept them, must reship the peaches to Seller in order to mitigate Seller’s losses.",Buyer must accept the peaches because a contract was formed when Seller shipped them.,"Although a contract was formed when Seller shipped the peaches, Buyer does not have to accept them.",,,
a,"Real Property,  Easements,  Covenants and Servitudes","A tract of 100 acres was retained by the owner after he had developed the adjoining 400 acres as a residential subdivision. The owner had effectively imposed restrictive covenants on each lot in the 400 acres. A buyer offered the owner a good price for a five-acre tract located in a corner of the tract far away from the existing 400-acre residential subdivision. The owner conveyed the five-acre tract to the buyer and imposed the same restrictive covenants on the five-acre tract as he had imposed on the lots in the adjoining 400 acres. The owner further covenanted that when he sold the remaining 95 acres of the tract he would impose the same restrictive covenants in the deed or deeds for the 95 acres. The owner’s conveyance to the buyer was promptly and properly recorded.However, shortly thereafter, the owner conveyed the remaining 95 acres to a developer for $100,000 by a deed that made no mention of any restrictive covenants. The developer had no actual knowledge of the restrictive covenants in the buyer’s deed. The developer now proposes to build an industrial park which would violate such restrictive covenants if they are applicable.The recording act of the jurisdiction provides: “No conveyance or mortgage of real property shall be good against subsequent purchasers for value and without notice unless the same be recorded according to law.” In an appropriate action by the buyer to enforce the restrictive covenants against the developer’s 95-acre tract, if the developer wins it will be because",the deed imposing the restrictions was not in the chain of title for the 95 acres when the developer bought.,the disparity in acreage means that the covenant can only be personal to the owner.,negative reciprocal covenants are not generally recognized.,a covenant to impose restrictions is an illegal restraint on alienation.,,,
