answer,tags,question,a,b,c,d
a,"Contracts, Common Law Contracts,","An elderly woman underwent major surgery and spent two weeks in the hospital. The woman continued to take powerful pain medication for several weeks after she returned home. During her recovery, she offered to sell her car for $450 to her neighbor, who owned a house-cleaning service. The neighbor said, ""That's great! I need a car to transport all the people who work for me to their job sites."" In fact, the woman's car was worth $3,000, and the neighbor knew this. He was also aware that the woman had undergone surgery and noted that she seemed ""out of it"" because of the medication she was taking. Several days later, the woman's son found out about the deal and contacted the neighbor, telling him that the woman would sell him the car, but for $3,450. The next day, when the neighbor tendered $450 and demanded that the woman give him the car, she refused. If the neighbor sues the woman for breach of contract, will he be likely to prevail?","No, because the contract was voidable due to the woman's apparent incapacity.","No, because the woman put nothing in writing.","Yes, because the neighbor's reliance on the otherwise voidable contract made it enforceable.","Yes, because the woman's offer and the neighbor's acceptance created an enforceable contract."
d,"Contracts, Uniform Commercial Code,","A ceramics studio contracted with an artist to produce cups and saucers designed by the artist. The artist was an established designer of collectible ceramic dinnerware, and the studio did production work for many artists who created ceramic dinnerware. The price and quantity term of the contract read: ""2,000 sets of the cups and saucers at $5 each, payable on delivery."" The contract contained a merger clause. The studio produced the cups and saucers and delivered them along with a bill for $20,000 (4,000 pieces at $5 per piece). The artist refused to pay more than $10,000 (2,000 sets at $5 per set). At the trial of the studio's action against the artist for breach of contract, the studio introduced evidence of an established practice in the studio industry to price cup-and-saucer sets on a per- piece, not a per-set, basis. Is the studio's evidence admissible?","No, because such evidence would vary an unambiguous term of the contract.","No, because the agreement was completely integrated.","Yes, because evidence of trade usage is always admissible.","Yes, because the usage of trade is offered to give meaning to the contract."
b,"Evidence, Authentication/Best Evidence Rule,","A defendant is on trial for nighttime breaking and entering of a warehouse. The warehouse owner had set up a camera to take infrared pictures of any intruders. After an expert establishes the reliability of infrared photography, the prosecutor offers the authenticated infrared picture of the intruder to show the similarities to the defendant. The photograph is","admissible, provided an expert witness points out to the jury the similarities between the person in the photograph and the defendant.","admissible, allowing the jury to compare the person in the photograph and the defendant.","inadmissible, because there was no eyewitness to the scene available to authenticate the photograph.","inadmissible, because infrared photography deprives a defendant of the right to confront witnesses."
a,"Civil Procedure,","A mortgage company is a State A corporation and is sued in a class action lawsuit in State Y Federal Court. The named representative of the class alleges that the mortgage company violated various State Y fair lending laws. The named representative plaintiff, a resident of State Y, also claims that the mortgage company's violations caused him losses of $70,000. As a class, members allege losses in excess of $5 million. On the mortgage company’s motion to dismiss the class action suit, the Court will:",Grant the motion for lack of subject matter jurisdiction.,"Grant the motion if none of the class members has alleged an individual loss exceeding $75,000.",Deny the motion because the Court has supplemental jurisdiction.,Deny the motion because $5 million exceeds the amount in controversy requirement.
d,"Criminal Law & Procedure, Crimes,","A woman, while baby-sitting one night, noticed that a next-door neighbor had left his house but the door did not close completely behind him. The woman said to the 11-year-old boy she was babysitting, ""Let's play a game. You go next door and see if you can find my portable television set, which I lent to the man next door, and bring it over here."" The woman knew the neighbor had a portable television set and she planned to keep the set for herself. The boy thought the set belonged to his babysitter, went next door, found the television set, and carried it out the front door. At that moment, the neighbor returned home and discovered the boy in his front yard with the television set. The boy explained the ""game"" he and his babysitter were playing. The neighbor took back his television set and called the police. The woman is","not guilty of larceny or attempted larceny, because the boy she was babysitting did not commit any crime.","not guilty of larceny but guilty of attempted larceny, because she never acquired possession of the television set.",guilty of larceny as an accessory to the boy she was babysitting.,guilty of larceny by the use of an innocent agent.
d,"Torts, Intentional Torts,","The warden of state prison prohibits the photographing of the face of any prisoner without the prisoner's consent. A news photographer, wanted to photograph a mobster prisoner who was a notorious organized crime figure incarcerated at the state prison. To circumvent the warden's prohibition, the photographer flew over the prison exercise yard and photographed the mobster prisoner. Another prisoner, who was imprisoned for a technical violation of a regulatory statute, happened to be standing next to the mobster prisoner when the photograph was taken. When the picture appeared in the press, the other prisoner suffered severe emotional distress because he believed that his business associates and friends would think he was consorting with gangsters. The other prisoner suffered no physical harm as the result of his emotional distress. The other prisoner brought an action against the photographer for intentional or reckless infliction of emotional distress. What is the best argument that the photographer can make in support of a motion for summary judgment?",No reasonable person could conclude that the photographer intended to photograph the other prisoner.,The other prisoner did not suffer any physical injury arising from the emotional distress.,"As a news photographer, the photographer was privileged to take photographs that others could not.",No reasonable person could conclude that the photographer's conduct was extreme and outrageous as to the other prisoner.
b,"Constitutional Law, Powers,","The vaccination of children against childhood contagious diseases has traditionally been a function of private doctors and local and state health departments. Because vaccination rates have declined in recent years, especially in urban areas, the President proposes to appoint a Presidential Advisory Commission on Vaccination, which would be charged with conducting a national publicity campaign to encourage vaccination as a public health measure. No federal statute authorizes or prohibits this action by the President. The activities of the Presidential Advisory Commission on Vaccination would be financed entirely from funds appropriated by Congress to the Office of the President for ""such other purposes as the President may think appropriate."" May the President constitutionally create such a commission for this purpose?","Yes, because the President has plenary authority to provide for the health, safety, and welfare of the people of the United States.","Yes, because this action is within the scope of executive authority vested in the President by the Constitution, and no federal statute prohibits it.","No, because the protection of children against common diseases by vaccination is a traditional state function and, therefore, is reserved to the states by the Tenth Amendment.","No, because Congress has not specifically authorized the creation and support of such a new federal agency."
c,"Civil Procedure,","A plaintiff sues two defendants: a publishing company and an author, a natural individual, in federal court for copyright violation. The plaintiff alleges that the defendants, without authorization, wrongfully copied the plot line and characters from plaintiff’s book and published the book under a different title. The parties have conferred in advance of the Rule 16(b) scheduling conference and discovery has begun. The plaintiff serves the defendant publishing company with a request to produce all documents that constitute correspondence between the publishing company and the author regarding the book prior to the date of first publication. The publishing company objects to the document request on grounds that relevant communications between the publishing company and the author are attorney-client privileged. The publishing company’s objection is improper and not substantially justified. Plaintiff immediately makes a motion to compel. Which is the most likely outcome of Plaintiff’s motion?","Granted, but the Court will likely require the plaintiff to pay the costs for the publishing company to comply with the discovery request.","Granted, and the Court will likely require the publishing company to pay plaintiff’s reasonable expenses incurred in making the motion.","Granted, and each side will bear its own costs incurred on the motion.","Granted, and the Court will treat the publishing company’s conduct as contempt of court."
b,"Real Property, Title, Conveyancing, Recording,,","An owner owned a tract of land, in fee simple. The owner executed an instrument in the proper form of a deed, purporting to convey the land to a purchaser in fee simple. The instrument recited that the conveyance was in consideration of $5 cash in hand paid and for other good and valuable consideration."" The owner handed the instrument to the purchaser and the purchaser promptly and property recorded it. Two months later, the owner brought an appropriate action against the purchaser to cancel the instrument and to quiet title. In support, the owner proved that no money in fact had been paid by the purchaser, notwithstanding the recitation, and that no other consideration of any kind had been supplied by the purchaser. In such action, the owner should","lose, because any remedy the owner might have had was lost when the instrument was recorded.","lose, because the validity of conveyance of land does not depend upon consideration being paid, whether recited or not.","prevail, because the recitation of consideration paid may be contradicted by parol evidence.","prevail, because recordation does not make a void instrument effective."
a,"Torts, Intentional Torts,","During a deer-hunting season open to rifle hunters, a hunter saw a deer in the forest. He shot his rifle at the deer, hoping to hit and kill it. Instead, he hit and injured a hiker. The hunter had not realized that the hiker was there. Does the injured hiker have an actionable battery claim against the hunter?","No, because the hunter did not intend to shoot the hiker.","No, because the hunter did not make direct physical contact with the hiker.","Yes, because the bullet from the hunter's rifle made direct physical contact with the hiker.","Yes, because the hunter intentionally shot the rifle."
d,"Criminal Law & Procedure, Crimes,","A man and his friend were watching a football game at the man's home when they began to argue. The friend became abusive and the man asked him to leave. The friend refused, walked into the kitchen, picked up a knife, and said he would cut the man's heart out. The man pulled a gun from under the sofa, walked to his front door, opened it, and again told his friend to leave. The friend again refused. Instead, the friend walked slowly toward the man, brandishing the knife in a threatening manner. The man, rather than running out the door himself, shot in his friend's direction, intending only to scare him. However, the bullet struck the friend, killing him instantly. Charged with murder, the man should be","convicted, because the use of deadly force was unreasonable under the circumstances.","convicted, because he had a clear opportunity and duty to retreat.","acquitted, because he did not intend to kill his friend.","acquitted, because he was acting in self-defense and had no duty to retreat."
d,"Constitutional Law, Powers,","City, located in State A, is a center for businesses that assemble personal computers. Components for these computers are manufactured elsewhere in State A and in other states, then shipped to City, where the computers are assembled. An ordinance of City imposes a special license tax on all of the many companies engaged in the business of assembling computers in that city. The tax payable by each such company is a percentage of the company's gross receipts. The State A statute that authorizes municipalities to impose this license tax has a ""State A content"" provision. To comply with this provision of state law, the City license tax ordinance provides that the tax paid by any assembler of computers subject to this tax ordinance will be reduced by a percentage equal to the proportion of computer components manufactured in State A. An assembly company assembles computers in City and sells them from its offices in City to buyers throughout the United States. All of the components of its computers come from outside State A. Therefore, the assembly company must pay the City license tax in full without receiving any refund. Other City computer assemblers use components manufactured in State A in varying proportions and, therefore, are entitled to partial reductions of their City license tax payments. Following prescribed procedure, the assembly company brings an action in a proper court asking to have City's special license tax declared unconstitutional on the ground that it is inconsistent with the negative implications of the commerce clause. In this case, the court should rule","against the assembly company, because the tax falls only on companies residing in City and, therefore, does not discriminate against or otherwise adversely affect interstate commerce.","against the assembly company, because the commerce clause does not interfere with the right of a state to foster and support businesses located within its borders by encouraging its residents to purchase the products of those businesses.","for the assembly company, because any tax on a company engaged in interstate commerce, measured in whole or in part by its gross receipts, is a per se violation of the negative implications of the commerce clause.","for the assembly company, because the tax improperly discriminates against interstate commerce by treating in-state products more favorably than out-of-state products."
d,"Criminal Law & Procedure, Criminal Procedure,","A defendant was charged with armed robbery. The defendant had only an eighth-grade education and no legal knowledge. At a pretrial hearing, the defendant told the judge that he was unhappy with the public defender who had been appointed to represent him and that he wanted the judge to appoint another lawyer. The judge refused to appoint another lawyer, telling the defendant, with no further explanation, that his only other choice was to represent himself. The defendant said he would rather represent himself at trial because ""anything [was] better than having this lawyer."" The defendant did not raise the subject again and he represented himself at trial. After hearing overwhelming evidence of the defendant's guilt, the jury convicted him of armed robbery. On appeal, the defendant requested a new trial on the ground that he was deprived of his right to counsel. Should the appellate court grant the defendant's request?","No, because the defendant voluntarily waived his right to counsel.","No, because the trial court's error was harmless in light of the overwhelming evidence.","Yes, because the defendant was not capable of effectively representing himself.","Yes, because the record does not establish a valid waiver of the right to counsel."
b,"Contracts, Common Law Contracts,","On March 1, a repair technician contracted to repair a textile company’s knitting machine and to complete the job by March 6. On March 2, the textile company contracted to manufacture and deliver specified cloth to an apparel company on March 15. The textile company knew that it would have to use the machine then under repair to perform this contract. Because the apparel company's order was for a rush job, the parties included in their contract a liquidated damages clause, providing that the textile company would pay $5,000 for each day’s delivery after March 15. The technician was inexcusably five days late in repairing the textile company’s machine, and, as a result, the textile company was five days late in delivering the cloth to the apparel company. The textile company paid $25,000 to the apparel company as liquidated damages and now sues the repair technician for $25,000. The repair technician and the textile company knew when making their contract on March 1 that under ordinary circumstances the textile company would sustain little or no damages of any kind as a result of a five-day delay in the machine repair. Assuming that the $5,000 liquidated damages clause in the textile company's contract with the apparel company is valid, which of the following arguments will serve as the repair technician’s best defense to the textile company’s action against it?",Time was not of the essence in the technician’s contract with the textile company.,"The technician had no reason to foresee on March 1 that the apparel company would suffer consequential damages in the amount of $25,000.","By entering into the apparel company contract while knowing that its knitting machine was being repaired, the textile company assumed the risk of any delay loss to the apparel company.","In all probability, the liquidated damages paid by the textile company to the apparel company are not the same amount as the actual damages sustained by the apparel company in consequence of the textile company’s late delivery of the cloth."
c,"Evidence, Relevance, Opinion,","At a defendant's trial for drug dealing, a prosecution witness testified that he had heard the defendant telling a group of people to come to the defendant's house because he had ""a great crop of apples for sale."" The prosecutor then called and qualified a drug enforcement agent as an expert in how drug dealing is conducted. The prosecutor now seeks to have the expert testify that in her opinion, based on years of experience with drug dealers, the defendant's statement about the apples was code for his having drugs for sale. Should the expert's opinion be admitted? (A) No, because an expert must base his or her opinion on scientific or technical data, not merely on experience. (B) No, because the opinion is based on the criminal actions of others engaged in drug dealing, and thus is substantially more unfairly prejudicial than probative. (C) Yes, because the opinion is based on her specialized knowledge, and it will assist the trier of fact in understanding the evidence and determining facts in issue in the case. (D) Yes, provided that the expert first testifies about the specific information upon which she based her view that the defendant was using ""apples"" as a code word to refer to drugs for sale.","No, because an expert must base his or her opinion on scientific or technical data, not merely on experience.","No, because the opinion is based on the criminal actions of others engaged in drug dealing, and thus is substantially more unfairly prejudicial than probative.","Yes, because the opinion is based on her specialized knowledge, and it will assist the trier of fact in understanding the evidence and determining facts in issue in the case.","Yes, provided that the expert first testifies about the specific information upon which she based her view that the defendant was using ""apples"" as a code word to refer to drugs for sale."
a,"Civil Procedure,","A plaintiff sues a defendant for breach of contract. The defendant moves for judgment as a matter of law at the close of all the evidence. After the motion is denied, the jury returns a verdict for the plaintiff. The defendant renews her motion for judgment as a matter of law. The judge denies the motion. If the defendant appeals, the appellate court will:","Grant the motion for judgment as a matter of law if, considering the evidence in the light most favorable to the plaintiff, it believes that the plaintiff failed to meet his burden of production.","Grant a motion for a new trial if, considering the evidence in the light most favorable to the plaintiff, it believes that the plaintiff failed to meet his burden of production.",Grant the motion for judgment as a matter of law if the great weight of the evidence was in the defendant’s favor.,Refuse to hear the appeal because a judgment as a matter of law is not a final judgment.
a,"Real Property, RE Contract Issues,","A man owned a tract of land, in fee simple. The man and a purchaser entered into a written agreement under which the purchaser agreed to buy the land for $100,000, its fair market value. The agreement contained all the essential terms of a real estate contract to sell and buy including a date for the closing. The required $50,000 down payment was made. The contract provided that in the event of the purchaser's breach, the man could retain the $50,000 deposit as liquidated damages. Before the date set for the closing in the contract, the purchaser died. After the closing date, the administratrix of the purchaser's estate made demand for return of the $50,000 deposit. The man responded by saying that he took such demand to be a declaration that the administratrix did not intend to complete the contract and that the man considered the contract at an end. The man further asserted that he was entitled to retain, as liquidated damages, the $50,000. The reasonable market value of the land had increased to $110,000 at that time. The administratrix brought an appropriate action against the man to recover the $50,000. In answer, the man made no affirmative claim but asserted that he was entitled to retain the $50,000 as liquidated damages as provided in the contract. If such lawsuit, judgment should be for","the administratrix, because the provision relied upon by the man is unenforceable.","the administratrix, because the death of the purchaser terminated the contract as a matter of law.","the man, because the court should enforce the express agreement of the contracting parties.","the man, because the doctrine of equitable conversion prevents termination of the contract upon the death of a party."
b,"Constitutional Law, Powers,","A city filed eminent domain proceedings in order to obtain 40 beach houses fronting a particularly attractive stretch of shoreline. As part of an elaborate plan to increase the city's tourist trade and revive the local economy, the city planned to sell the beach houses to a company that would demolish the houses and build a luxury hotel in their place. The owners of the beach houses have challenged the city's exercise of eminent domain, contending only that the city's plan is unconstitutional. Will the owners of the beach houses be likely to prevail?","No, because a property owner can challenge an exercise of eminent domain only on the ground of the sufficiency of the compensation.","No, because the planned sale to the private developer to increase the tourist trade qualifies as a public use.","Yes, because a public entity cannot seize the property of one person in order to transfer that property intact to other private parties.","Yes, because the city's action would deprive the owners of all economic use of their property."
c,"Torts, Negligence,","A patient had been under the care of a cardiologist for three years prior to submitting to an elective operation that was performed by a surgeon. Two days thereafter, the patient suffered a stroke, resulting in a coma, caused by a blood clot that lodged in her brain. When it appeared that she had entered a permanent vegetative state, with no hope of recovery, the artificial life- support system that had been provided was withdrawn, and the patient died a few hours later. The withdrawal of artificial life support had been requested by the patient's family, and duly approved by a court. The surgeon was not involved in that decision, or in its execution. The administrator of the patient's estate thereafter filed a wrongful death action against the surgeon, claiming that the surgeon was negligent in having failed to consult a cardiologist prior to the operation. At the trial, the plaintiff offered evidence that accepted medical practice would require examination of the patient by a cardiologist prior to the type of operation that the surgeon performed. In this action, the plaintiff should","prevail, if the surgeon was negligent in failing to have the patient examined by a cardiologist prior to the operation.","prevail, if the blood clot that caused the patient's death was caused by the operation that the surgeon performed.","not prevail, absent evidence that a cardiologist, had one examined the patient before the operation, would probably have provided advice that would have changed the outcome.","not prevail, because the surgeon had nothing to do with the withdrawal of artificial life support, which was the cause of the patient's death."
c,"Evidence, Impeachment of Witnesses,","At a defendant's trial for burglary, a witness supported the defendant's alibi that they were fishing together at the time of the crime. On cross-examination, the witness was asked whether his statement on a credit card application that he had worked for his present employer for the last five years was false. The witness denied that the statement was false. The prosecutor then calls the manager of the company for which the witness works, to testify that although the witness had been first employed five years earlier and is now employed by the company, there had been a three-year period during which he had not been so employed. The testimony of the manager is","admissible, in the judge's discretion, because the witness's credibility is a fact of major consequence to the case.","admissible, as a matter of right, because the witness ""opened the door"" by his denial on cross-examination.","inadmissible, because whether the witness lied in his application is a matter that cannot be proved by extrinsic evidence.","inadmissible, because the misstatement by the witness could have been caused by misunderstanding of the application form."
b,"Real Property, Title, Conveyancing, Recording,,","The owner of land in fee simple, as the land records showed, contracted to sell the land to a buyer. Two weeks later, the buyer paid the agreed price and received a warranty deed. A week thereafter, when neither the contract nor the deed had been recorded and while the owner remained in possession of the land, a creditor properly filed her money judgment against the owner. She knew nothing of the buyer's interest. A statute in the jurisdiction provides: ""Any judgment properly filed shall, for ten years from filing, be a lien on the real property then owned or subsequently acquired by any person against whom the judgment is rendered."" The recording act of the jurisdiction provides: ""No conveyance or mortgage of real property shall be good against subsequent purchasers for value and without notice unless the same be recorded according to law."" The creditor brought an appropriate action to enforce her lien against the land in the buyer's hands. If the court decides for the buyer, it will most probably be because",the doctrine of equitable conversion applies.,the jurisdiction's recording act does not protect creditors.,the owner's possession gave the creditor constructive notice of the buyer's interest.,the buyer was a purchaser without notice.
a,"Civil Procedure,","A construction contractor brought a breach of contract claim in federal court against a homeowner who had hired the contractor to build an apartment over an existing garage. The action turned on the scope of the work covered by the contract. The contractor and the homeowner were the only witnesses at the bench trial, and they strongly disagreed about the scope of the work. At the end of the trial, the judge stated findings of fact on the record but never issued a written opinion. Neither party objected to the findings. The judge found in favor of the homeowner, and the contractor appealed. Is the appellate court likely to overturn the findings?","No, because the appellate court must give due regard to the trial judge's opportunity to determine witness credibility.","No, because the contractor failed to object to the findings when the judge stated them in open court.","Yes, because a judge must set forth findings of fact in a written opinion or memorandum of decision.","Yes, because there were disputed issues of fact at trial."
b,"Criminal Law & Procedure, Criminal Procedure,","A man kidnapped a victim in State A and transported the victim across the state border into State B. These actions violated the kidnapping laws of both states, which are identical. A jury convicted the man in a State A court, but that trial judge gave what prosecutors in State B deemed an unduly lenient sentence. The state prosecutor in State B then commenced a kidnapping case against the man for violating State B's kidnapping statute. The man's lawyer has filed a motion in State B to dismiss the charge based on the double jeopardy protection against a second prosecution for the man's single act of kidnapping. Should the court grant the motion to dismiss?","No, because the double jeopardy protection only prohibits a second prosecution following an acquittal for the same offense.","No, because the man's conduct violated the laws of two different states, and each has the right to enforce its laws.","Yes, because the double jeopardy protection prohibits a second prosecution following a conviction for the same offense.","Yes, because the government is collaterally estopped under the double jeopardy protection from prosecuting a defendant a second time for the same conduct that led to an earlier conviction."
a,"Criminal Law & Procedure, Criminal Procedure,","A woman entered a guilty plea to a charge of embezzlement. Her attorney hired a retired probation officer as a consultant to gather information for the preparation of a sentencing plan that would avoid jail. For that purpose, the consultant interviewed the woman for three hours. Thereafter, the prosecution undertook an investigation of the woman's possible involvement in other acts of embezzlement. The consultant was subpoenaed to testify before a grand jury. The consultant refused to answer any questions concerning any conversation with the woman. The prosecution has moved for an order requiring the consultant to answer those questions. The motion should be","denied, on the basis of the attorney-client privilege.","denied, in the absence of probable cause to believe the interview developed evidence relevant to the grand jury's inquiry.","granted, because the consultant is not an attorney.","granted, because exclusionary evidentiary rules do not apply in grand jury proceedings."
c,"Constitutional Law, Powers,","A baseball fan has a fierce temper and an extremely loud voice. Attending a baseball game in which a number of calls went against the home team, the baseball fan repeatedly stood up, brandished his fist, and angrily shouted, ""Kill the umpires."" The fourth time he engaged in this conduct, many other spectators followed him in rising from their seats, brandishing fists, and shouting, ""Kill the umpires."" The home team lost the game. Although no violence ensued, spectators crowded menacingly around the umpires after the game. As a result, the umpires were able to leave the field and stadium only with the help of a massive police escort. For his conduct, the baseball fan was charged with inciting to riot and was convicted in a jury trial in state court. He appealed. The state supreme court reversed his conviction. In its opinion, the court discussed in detail decisions of the United States Supreme Court dealing with the First Amendment free speech clause as incorporated into the Fourteenth Amendment. At the end of that discussion, however, the court stated that it ""need not resolve how, on the basis of these cases,"" the United States Supreme Court would decide the baseball fan's case. ""Instead,"" the court stated, ""this court has always given the free-speech guarantee of the state's constitution the broadest possible interpretation. As a result, we hold that in this case, where no riot or other violence actually occurred, the state constitution does not permit this conviction for incitement to riot to stand."" The United States Supreme Court grants a writ of certiorari to review this decision of the state supreme court. In this case, the United States Supreme Court should","affirm the state supreme court's decision, because the baseball fan's shout is commonplace hyperbole at a ballpark that cannot, consistently with the First and Fourteenth Amendments, be punished.",remand the case to the state supreme court with directions that it resolve the First and Fourteenth Amendment free speech issue that it discussed in such detail.,"dismiss the writ as improvidently granted, because the state supreme court's decision rests on an independent and adequate state law ground.","reverse the decision of the state supreme court, because incitement to violent action is not speech protected by the First and Fourteenth Amendments."
b,"Torts, Negligence,","The day after a seller completed the sale of his house and moved out, one of the slates flew off the roof during a windstorm. The slate struck a pedestrian, who was on the public sidewalk. The pedestrian was seriously injured. The roof was old and had lost several slates in ordinary windstorms on other occasions. If the pedestrian sues the seller to recover damages for his injuries, will the pedestrian prevail?","Yes, because the roof was defective when the seller sold the house.","Yes, if the seller should have been aware of the condition of the roof and should have realized that it was dangerous to persons outside the premises.","No, because the seller was neither the owner nor the occupier of the house when the pedestrian was injured.","No, if the pedestrian knew that in the past slates had blown off the roof during windstorms."
a,"Contracts, Common Law Contracts,","Which of the following, if proved, best supports the buyer’s suit against the owner for breach of contract?",The buyer was unaware of the sale by the owner to another person when the owner received the letter and check from the buyer on April 21.,"On April 15, the buyer decided to purchase the land and applied for and obtained a commitment from a bank for a $75,000 loan to help finance the purchase.","When the April 1 writing was signed, the owner said to the buyer, “Don’t worry about the $100; the recital of ‘$100 to be paid’ makes this deal binding.""",The owner and the buyer are both professional dealers in real estate.
d,"Contracts, Common Law Contracts,","For this question only, assume that, for whatever reason, the buyer prevails in the suit against the owner. Which of the following is the buyer entitled to recover?","Nominal damages only, because the remedy of specific performance was not available to the buyer.","The fair market value, if any, of an assignable option to purchase the owner's land for $100,000.","$20,000, plus the amount, if any, by which the fair market value of the owner's land on the date of the owner’s breach exceeded $120,000.","The amount, if any, by which the fair market value of the owner's land on the date of Owner’s breach exceeded $100,000."
b,"Real Property, Title, Conveyancing, Recording,,","When a buyer and a seller executed a valid contract for the sale of a house, the buyer gave the seller $1,000 as earnest money. The contract noted that the earnest money tendered would be applied to the purchase price at the time of sale but was silent as to remedies in the event of any default. Just before the closing, the buyer lost her job. The buyer told the seller that she could no longer purchase the house and asked him to return the earnest money. The seller accurately told the buyer that the seller's actual losses exceeded the amount of the earnest money; that if the seller sued the buyer for damages, he would receive a minimum of $5,000; and that it would be difficult for him to sell the house in the current market. Should the buyer get the earnest money back?","No, because the contract was silent regarding remedies.","No, because the seller's actual losses exceeded the amount of the earnest money.","Yes, because the buyer is no longer ready, willing, and able to purchase the house.","Yes, because the reason for the buyer's default was not anticipated."
b,"Criminal Law & Procedure, Crimes,","An 18-year-old man and his 14-year-old girlfriend made plans to meet in the man 's apartment to have sexual intercourse, and they did so. The girlfriend later told her mother about the incident. The man was charged with statutory rape and conspiracy to commit statutory rape. In the jurisdiction, the age of consent is 15, and the law of conspiracy is the same as the common law. The man was convicted of both charges and given consecutive sentences. On appeal, he contends that his conspiracy conviction should be reversed. That conviction should be","affirmed, because he and his girlfriend agreed to commit the crime.","reversed, because his girlfriend could not be a conspirator to this crime.","reversed, because the crime is one that can only be committed by agreement and thus Wharton's Rule bars conspiracy liability.","reversed, because one cannot conspire with a person too young to consent."
a,"Criminal Law & Procedure, Crimes,","A man decided to kill his boss after she told him that he would be fired if his work did not improve. The man knew his boss was scheduled to go on a business trip Monday morning. On Sunday morning, the man went to the company parking garage and put a bomb in his boss's company car. The bomb was wired to go off when the car engine started. The man then left town. At 5 a.m. Monday morning, after driving all night, the man was overcome with remorse and had a change of heart. He called the security officer on duty at the company and told him about the bomb. The security officer said he would take care of the matter. An hour later, the security officer put a note on the desk of the man's boss, telling her about the man's message. The security officer then looked at the car but could not see any signs of a bomb. He printed a sign saying ""DO NOT USE THIS CAR,"" put it on the windshield, and went to call the police. Before the police arrived, a company vice president got into the boss's car and started the engine. The bomb went off, killing the company vice president. The jurisdiction defines murder in the first degree as any homicide committed with premeditation and deliberation or any murder in the commission of a common-law felony. Second-degree murder is defined as all other murder at common law. Manslaughter is defined by the common law. The man is guilty of","murder in the first degree, because, with premeditation and deliberation, he killed whoever would start the car.","murder in the second degree, because he had no intention of killing the company's vice president.","manslaughter, because at the time of the explosion, he had no intent to kill, and the death of the company's vice president was in part the fault of the security officer.",only attempted murder of his boss and the death of the company's vice president was the result of the security officer's negligence.
c,"Constitutional Law, Powers,","State A imposes a tax on the ""income"" of each of its residents. As defined in the taxing statute, ""income"" includes the fair rental value of the use of any automobile provided by the taxpayer's employer for the taxpayer's personal use. The federal government supplies automobiles to some of its employees who are residents in State A so that they may perform their jobs properly. A federal government employee supplied with an automobile for this purpose may also use it for the employee's own personal business Assume there is no federal legislation on this subject. May State A collect this tax on the fair rental value of the personal use of the automobiles furnished by the federal government to these employees?","No, because such a tax would be a tax on the United States.","No, because such a tax would be a tax upon activities performed on behalf of the United States, since the automobiles are primarily used by these federal employees in the discharge of their official duties.","Yes, because the tax is imposed on the employees rather than on the United States, and the tax does not discriminate against persons who are employed by the United States.","Yes, because an exemption from such state taxes for federal employees would be a denial to others of the equal protection of the laws."
d,"Torts, Negligence,","A male orderly, who worked at a hospital, had sexual relations with a patient, a severely retarded person, in her room at the hospital. In a tort action brought on the patient's behalf against the hospital, the patient will","not prevail, if the orderly's actions were outside the scope of his employment.","not prevail, if the patient initiated the relationship with the orderly and encouraged his actions.","prevail, if the orderly was an employee of the hospital.","prevail, if the hospital failed to use reasonable care to protect the patient from such conduct."
d,"Evidence, Policy Exclusions,","A plaintiff passenger is suing a defendant for injuries suffered in the crash of a small airplane, alleging that the defendant had owned the plane and negligently failed to have it properly maintained. The defendant has asserted in defense that he never owned the plane or had any responsibility to maintain it. At trial, the plaintiff calls a witness to testify that he had sold to the defendant a liability insurance policy on the plane. The testimony of the witness is","inadmissible, because the policy itself is required under the original document rule.","inadmissible, because of the rule against proof of insurance where insurance is not itself at issue.",admissible to show that the defendant had little motivation to invest money in maintenance of the airplane.,admissible as some evidence of the defendant's ownership of or responsibility for the airplane.
d,"Real Property, Title, Conveyancing, Recording,,","An owner of five vacant lots in a subdivision obtained a $50,000 loan from a bank. The owner executed and delivered to the bank a promissory note and mortgage describing each of the five lots. The mortgage was promptly and properly recorded. Upon payment of $10,000, the owner obtained a release of the first lot duly executed by the bank. She altered the instrument of release to include the second lot as well as the first lot and recorded it. The owner thereafter sold the second lot to an innocent purchaser for value. The bank discovered that the instrument of purchase had been altered and brought an appropriate action against the owner and the purchaser to set aside the release as it applied to the second lot. The owner did not defend against the action, but the purchaser did. The recording act of the jurisdiction provides: ""No unrecorded conveyance or mortgage of real property shall be good against subsequent purchasers for value without notice, who shall first record."" The court should rule for","the purchaser, because the bank was negligent in failing to check the recordation of the release.","the purchaser, because she was entitled to rely on the recorded release.","the bank, because the purchaser could have discovered the alteration by reasonable inquiry.","the bank, because the alteration of the release was ineffective."
b,"Criminal Law & Procedure, Crimes,","A man was angry at a coworker who had received a promotion. The man believed that the coworker had taken credit for the man's work and had badmouthed him to their boss. One day, as the man was leaving the company parking lot in his car, he saw the coworker walking through the lot. On a sudden impulse, the man pushed the accelerator pedal hard and veered toward the coworker with the intention of scaring him. The coworker tried to jump out of the way but slipped and fell and was run over. Although the coworker suffered life-threatening injuries, he survived. In a jurisdiction that follows the common law of homicide, could the man properly be convicted of attempted murder?","No, because the coworker's slip and fall broke the chain of proximate causation.","No, because the man lacked the requisite intent.","Yes, because the coworker suffered life-threatening injuries.","Yes, because the man acted with reckless disregard for human life."
