answer,tags,question,a,b,c,d
a,Civil Procedure,"In an action in federal court, defendant serves plaintiff with a request for admission. Plaintiff objects on several grounds and refuses to respond. Which of the following objections, if true, is most likely to result in denial of the motion if defendant moves to compel an answer to the request for admission?",The request is not relevant to a claim or defense presented in the Complaint or Answer. ,The request presents a genuine issue for trial., The request calls for the application of law to fact and therefore wrongly seeks attorney work product. ,The request calls for admission of a fact on which plaintiff bears the burden of proof at trial. 
b,"Torts, Intentional Torts","The manager of a department store noticed that a woman was carrying a scarf with her as she examined various items in the blouse department. The manager recognized the scarf as an expensive one carried by the store. The woman was trying to find a blouse that matched a color in the scarf, and, after a while, found one. The manager then saw the woman put the scarf into her purse, pay for the blouse, and head for the door. The manager, who was eight inches taller than the woman, blocked the woman's way to the door and asked to see the scarf in the woman's purse. The woman produced the scarf, as well as a receipt for it, showing that it had been purchased from the store on the previous day. The manager then told the woman there was no problem, and stepped out of her way. If the woman brings a claim against the store based on false imprisonment, the store's best defense would be that","by carrying the scarf in public view and then putting it into her purse, the woman assumed the risk of being detained. ",the manager had a reasonable belief that the woman was shoplifting and detained her only briefly for a reasonable investigation of the facts. ,The woman should have realized that her conduct would create a reasonable belief that facts existed warranting a privilege to detain. ,"The woman was not detained, but was merely questioned about the scarf. "
b,"Constitutional Law, Individual Rights","A proposed federal statute would prohibit all types of discrimination against black persons on the basis of their race in every business transaction executed anywhere in the United States by any person or entity, governmental or private. Is this proposed federal statute likely to be constitutional?","Yes, because it could reasonably be viewed as an exercise of Congress's authority to enact laws for the general welfare. ","Yes, because it could reasonably be viewed as a means of enforcing the provisions of the Thirteenth Amendment. ","No, because it would regulate purely local transactions that are not in interstate commerce. ","No, because it would invade the powers reserved to the states by the Tenth Amendment. "
d,"Criminal Law & Procedure, Crimes","A man told his neighbor that he was going away for two weeks and asked the neighbor to keep an eye on his house. The neighbor agreed. The man gave the neighbor a key to use to check on the house. The neighbor decided to have a party in the man’s house. He invited a number of friends. One friend went into the man’s bedroom, took some of the man’s rings, and put them in his pocket. Which of the following is true?",The neighbor and the friend are guilty of burglary.,The neighbor is guilty of burglary and the friend is guilty of larceny.,The neighbor is guilty of trespass and the friend is guilty of larceny. ,The friend is guilty of larceny and the neighbor is not guilty of any crime. 
a,"Torts, Negligence","A homeowner resides downhill from metal fabrication facility. She has sued both the owner of the facility and the supplier of a solvent used at the facility. She contends that contaminants, consisting mostly of the solvent, were released into the ground at the facility and have migrated and continue to migrate to her property, contaminating the soil, the groundwater, and her well. She alleges various acts of negligence on the part of the facility owner in causing the release of the contaminants into the ground. She also alleges that employees of the solvent supplier were negligent in frequently spilling some of the solvent onto the ground while filling a rooftop tank at the facility. The solvent supplier has moved for summary judgment, arguing that if there was any contamination, the facility owner and the supplier independently contributed indeterminate amounts to the contamination and that therefore the homeowner cannot show how much damage each has inflicted on her. There is no evidence that the facility owner and the solvent supplier acted in concert. Should the court grant the summary judgment motion?","No, because concurrent tortfeasors are jointly and severally liable for an indivisible injury.","No, because the solvent supplier is vicariously liable for damage inflicted by the facility owner.","Yes, because there is no basis for allocating damages against the solvent supplier. ","Yes, because there is no evidence that the facility owner and the solvent supplier acted in concert. "
a,Real Property Cotenancy and Landlord-Tenant,"A landlord leased a commercial building to a tenant for five years. Rent was payable on the first day of each month, and the landlord retained the right to terminate the lease if the tenant defaulted. The lease term ended 18 months ago. However, the tenant has stayed in possession of the building and has continued to pay the rent on time. The landlord has continued to accept the rent. The fair rental value of the building is now substantially more than what the tenant has been paying, and the landlord recently found a third party who will pay the higher rent. When the tenant paid the rent six weeks ago, the landlord accepted the rent but told the tenant in writing that she had to vacate at the end of the month. The tenant, who is still in possession of the building, has informed the landlord that she does not want to move and is willing to pay the current fair rental value. The landlord has asked his lawyer for advice regarding the right to possession. Who should the lawyer say is entitled to possession?","The landlord, because he gave proper notice to terminate the tenancy.","The landlord, because he retained the right to reenter.","The tenant, because she has stated that she is willing to pay the current fair rental value. ","The tenant, because the landlord has not shown good cause to terminate the tenancy. "
a,"Evidence, Authentication/Best Evidence Rule","Plaintiff sued Defendant for dissolution of their year-long partnership. One issue concerned the amount of money Plaintiff had received in cash. It was customary for Defendant to give Plaintiff money from the cash register as Plaintiff needed it for personal expenses. Plaintiff testified that, as he received money, he jotted down the amounts in the partnership ledger. Although Defendant had access to the ledger, he made no changes in it. The ledger was admitted into evidence. Defendant seeks to testify to his memory of much larger amounts he had given Plaintiff. Defendant's testimony is","admissible, because it is based on Defendant's firsthand knowledge.","admissible, because the ledger entries offered by a party opponent opened the door. ","inadmissible, because the ledger is the best evidence of the amounts Plaintiff received.","inadmissible, because Defendant's failure to challenge the accuracy of the ledger constituted an adoptive admission. "
a,"Contracts, Uniform Commercial Code","In a signed writing, a buyer contracted to purchase a 25-foot travel trailer from a seller for $15,000, cash on delivery no later than June 1. The buyer arrived at the seller’s sales lot on Sunday, May 31, to pay for and take delivery of the trailer, but refused to do so when he discovered that the spare tire was missing. The seller offered to install a spare tire on Monday when its service department would open, but the buyer replied that he did not want the trailer and would purchase another one elsewhere. Which of the following is accurate?","The buyer had a right to reject the trailer, but the seller was entitled to a reasonable opportunity to cure the defect. ",The buyer had a right to reject the trailer and terminate the contract under the perfect tender rule. ,"The buyer was required to accept the trailer, because the defect could be readily cured. ","The buyer was required to accept the trailer, because the defect did not substantially impair its value. "
c,Civil Procedure,"A plaintiff sued a defendant in federal court for injuries arising out of an accident involving the parties. The plaintiff alleged and presented evidence at trial demonstrating that her injuries had left her legs permanently paralyzed. The jury found in favor of the plaintiff and awarded her $5 million in damages. Two months after the court entered judgment, the defendant was given a videotape made that day showing the plaintiff jogging with her doctor. What is the best way for the defendant to seek relief from the judgment?",Move for a new trial or in the alternative for remittitur to reduce the award in light of the shortened duration of the plaintiff's injuries. ,Move for relief from the judgment on the ground that the judgment was based on the jury's mistaken belief that the plaintiff's injuries would be permanent. ,Move for relief from the judgment on the ground that the plaintiff committed a fraud in obtaining damages for permanent injuries. ,Move for relief from the judgment on the ground that there is newly discovered evidence that the plaintiff's injuries were not permanent. 
d,"Torts, Negligence","While Plaintiff was leaving an elevator, it suddenly dropped several inches, causing her to fall. An investigation of the accident revealed that the elevator dropped because it had been negligently maintained by the Elevator Company. The Elevator Company had a contract with the owner of the building to inspect and maintain the elevator. Plaintiff's fall severely aggravated a preexisting physical disability. If Plaintiff sues the Elevator Company for damages for her injuries, she should recover","nothing, if the Elevator Company could not reasonably have been expected to foresee the extent of the harm that Plaintiff suffered as a result of the accident. ","nothing, if the accident would not have caused significant harm to an ordinarily prudent elevator passenger. ","damages for the full amount of her disability, because a tortfeasor must take its victim as it finds her. ","damages for the injury caused by the falling elevator, including the aggravation of her preexisting disability. "
a,EvidenceImpeachment of Witnesses,"A plaintiff sued the insurer of her home after the insurer denied coverage for water damage to the home allegedly caused by a frozen plastic pipe that burst. At trial, the insurer called as an expert witness an engineer, who testified that the pipe had burst because of age rather than freezing. On cross-examination, the engineer admitted that five years earlier, he had been convicted of tax fraud, even though he had asserted that it was his accountant's error. In response, the insurer calls a witness, who is well acquainted with the engineer and his reputation, to testify that (1) in the witness' opinion, the engineer is a truthful person, and (2) the engineer's neighbors all describe him as a truthful person. How much, if any, of the witness's testimony is admissible?",All of the testimony is admissible to support the engineer's credibility. ,"Only the portion concerning the engineer's reputation is admissible, because where both opinion and reputation evidence are available, only the latter is admissible under a rule of preference. ","Only the portion concerning the witness's opinion of the engineer's character, because the witness' reporting of the neighbors' comments is hearsay. ","None of the testimony is admissible, because it is collateral, having no bearing on the engineer's qualifications as an expert. "
d,"Criminal Law & Procedure, Criminal Procedure","Police received an anonymous tip that a woman was growing marijuana in her backyard, which was surrounded by a 15-foot high, solid wooden fence. An Officer was unable to view the yard from the street, so he used a police helicopter to fly over the woman’s house. The Officer identified a large patch of marijuana plants growing right next to the house and used this observation to obtain a search warrant. The woman is prosecuted for possession of marijuana and moves to suppress use of the marijuana in evidence. The court should","grant the motion, because the only purpose of the Officer’s flight was to observe the yard.","grant the motion, because the woman had a reasonable expectation of privacy in the curtilage around her house and the police did not have a warrant. ","deny the motion, because a warrant is not required for a search of a residential yard. ","deny the motion, because the woman had no reasonable expectation of privacy from aerial observation. "
b,"Contracts, Uniform Commercial Code","A buyer faxed the following signed message to a seller, his long-time widget supplier: “Urgently need blue widgets. Ship immediately three gross at your current list price of $600.” Upon receipt of the fax, the seller shipped three gross of red widgets to the buyer, and faxed to the buyer the following message: “Temporarily out of blue. In case red will help, am shipping three gross at the same price. Hope you can use them.” Upon the buyer’s timely receipt of both the shipment and seller’s fax, which of the following best describes the rights and duties of the buyer and seller?","The buyer may accept the shipment, in which case he must pay the seller the list price, or he must reject the shipment and recover from seller for total breach of contract. ","The buyer may accept the shipment, in which case he must pay the seller the list price, or he may reject the shipment, in which case he has no further rights against the seller. ","The buyer may accept the shipment, in which case he must pay the seller the list price, less any damages sustained because of the nonconforming shipment, or he may reject the shipment and recover from the seller for total breach of contract, subject to the seller’s right to cure. ","The buyer may accept the shipment, in which case he must pay the seller the list price, less any damages sustained because of the nonconforming shipment, or he may reject the shipment provided that he promptly covers by obtaining conforming widgets from another supplier. "
b,Civil Procedure,"Plaintiff, a woman, and two men were hired for a 90 day probationary period by defendant corporation. At the end of the probationary period, defendant refused to hire plaintiff for a permanent position and, instead, hired the two men. Fifteen months later, plaintiff sued defendant in federal court for employment discrimination, alleging that defendant refused to hire plaintiff because of her gender and instead hired two less-qualified men. During discovery, plaintiff served defendant with document requests seeking all documents, including emails, regarding plaintiff’s probationary period and defendant’s decision not to hire plaintiff as a permanent employee. Defendant then notified plaintiff that all emails regarding plaintiff had been destroyed as part of defendant’s routine policy of deleting all emails older than one year. Plaintiff brings a motion requesting sanctions against defendant for spoliation of evidence. Which is the most likely outcome of Plaintiff’s motion?","The court will deny the motion because the duty to preserve material evidence arises only after litigation has commenced and, here, the emails were destroyed prior to that time. ","The court will deny plaintiff’s motion because the destruction of emails occurred as part of defendant’s routine, good-faith operation of an electronic information system. ",The court will grant plaintiff’s motion and enter judgment for plaintiff because it is unreasonable for defendant to delete its old emails. ,"The court will grant plaintiffs motion and instruct the jury that it can infer from the fact that defendant destroyed the emails that the emails, if available, would have been favorable to plaintiff and harmful to defendant. "
d,"Evidence, Authentication/Best Evidence Rule","A man sued a Company for injuries suffered in the crash of the man's dune buggy, allegedly caused by a defective auto part manufactured by the Company. The Company claims that the part was a fraudulent imitation, not produced by the Company. Which of the following is NOT admissible on the issue of whether the part was manufactured by the Company?",The fact that the defective part bears the Company's insignia or trademark. ,Testimony that the part was purchased from a parts house to which the Company regularly sold parts.,The part itself and a concededly genuine part manufactured by the Company (for the jury's comparison).,A judgment for another plaintiff against the Company in another case involving substantially similar facts. 
d,"Real Property Mortgages, Foreclosure, and Security","A builder sold a new house to a buyer for use as the buyer's residence. The buyer paid 10% of the purchase price and financed the rest by executing a promissory note and purchase money mortgage to the builder. A year later, the buyer missed several mortgage payments to the builder and became unable to make payments. During that year, property values in the neighborhood declined substantially. The builder suggested that the buyer deed the house back to the builder to settle all claims and avoid the costs and other disadvantages of foreclosure. The buyer deeded the house back to the builder. Does the builder now own fee simple title to the house?","No, because the deed back to the builder constitutes a disguised mortgage. ","No, because the owner of a personal residence cannot waive the right to foreclosure.","Yes, because of the doctrine of equitable redemption.","Yes, because the transaction was reasonable and fair under the circumstances. "
d,"Contracts, Uniform Commercial Code","For this question only, assume that when the second wholesaler tendered the first installment to producer in compliance with the wholesaler-producer contract, the producer refused to accept the goods. Which of the following arguments, if any, legally support(s) Producer’s rejection of the goods?’",Executory requirements contracts are nonassignable. ,"Duties under an executory bilateral contract are assumable only by an express promise to perform on the part of the delegate, and language of “assignment” in the transfer for value of a bilateral sale-of-goods contract affects only a transfer of rights, not a delegation of duties. ",Both A and B.,Neither A nor B. 
d,"Contracts, Uniform Commercial Code","For this question only, assume that producer accepted second wholesaler’s delivery of the first installment under the Wholesaler- Producer contract, but that the producer paid the contract price for that installment to the wholesaler and refused to pay anything to the second wholesaler. In an action by the second wholesaler against the producer for the contractual amount of the first installment, which of the following, if any, will be an effective defense for the producer?",The producer had not expressly agreed to accept the second wholesaler as her flour supplier. ,The producer’s payment of the contractual installment to the wholesaler discharged her obligation.,"The producer had not expressly agreed to accept the second wholesaler as her flour supplier, and the wholesaler remained obligated to the producer even though the wholesaler had assigned the contract to the second wholesaler. ",None of the above. 
d,"Criminal Law & Procedure, Criminal Procedure","On October 22, an Officer submitted an application for a warrant to search a particular house for cocaine. In the application, the Officer stated under oath that he believed there was cocaine at that location because of information supplied to him on the morning of October 22 by an informant. He described the informant as a cocaine user who had previously supplied accurate information concerning the use of cocaine in the community and summarized what the informant had told him as follows: the previous night, October 21, the informant was in a man’s house at a particular address (the address named in the application for the warrant). The man gave her cocaine. She also saw three cellophane bags containing cocaine in his bedroom. The warrant was issued and a search of the house was conducted on October 22. The search turned up a quantity of marijuana but no cocaine. The man was arrested and charged with possession of marijuana. The man moved to suppress the use of the marijuana as evidence contending that the informant was not in his house on October 21 or at any other time. If, after hearing evidence, the judge concludes that the statement in the application attributed to the informant is incorrect, the judge should grant the motion to suppress",because the application contains a material statement that is false. ,because of the false statement and because no cocaine was found in the house. ,only if he also finds that the informant’s statement was a deliberate lie. ,only if he also finds that the Officer knew the informant’s statement was false.
c,"Constitutional Law, Individual Rights","The Personnel Handbook of a City contains all of that city's personnel policies. One section of the handbook states that ""where feasible and practicable supervisors are encouraged to follow the procedures specified in this Handbook before discharging a city employee."" Those specified procedures include a communication to the employee of the reasons for the contemplated discharge and an opportunity for a pre-termination trial-type hearing at which the employee may challenge those reasons. After a year of service, a woman, the secretary to the City Council, was discharged without receiving any communication of reasons for her contemplated discharge and without receiving an opportunity for a pre- termination trial-type hearing. The woman files suit in federal district court to challenge her discharge solely on constitutional grounds. Which of the following best describes the initial burden of persuasion in that suit?",The City Council must demonstrate that its personnel handbook created no constitutionally protected interest in city employment or in the procedures by which such employment is terminated. ,The City Council must demonstrate that the woman’s termination was for good cause.,The woman must demonstrate that state law creates a constitutionally protected interest in her employment or in the procedures by which her employment is terminated. ,The woman must demonstrate that she reasonably believed that she could work for the City for as long as she wished. 
c,Civil Procedure,"Plaintiff sued Defendant for a breach of contract action in federal court. The court requested that both parties submit jury instructions one week before trial. A week before trial, counsel for Plaintiff submitted proposed jury instructions to the court. Counsel for Defendant did not submit jury instructions to the court. The court informed both parties that it planned on using the instructions from Plaintiff at trial and provided both parties with a copy of the instructions. Defendant did not respond. After the close of evidence and before closing arguments, the judge indicated that he was going to present and read the jury instructions to the jury. At that point counsel for Defendant informed the judge that he objected to some of the proposed instructions and requested the Court to amend some of the instructions. The judge should:",Deny Defendant’s request as an objection at this stage would be prejudicial to Plaintiff.,Deny Defendant’s request as the objection needed to be made prior to the commencement of trial.,Allow Defendant the opportunity to present his objections and amend the instructions if all parties are in agreement. ,Allow Defendant the opportunity to object as the objection and proposed changes were made before a verdict was rendered by the jury. 
a,"Real Property0, RE Contract Issues","The owner of a residential lot improved with a dwelling conveyed it for a valuable consideration to a buyer. The dwelling had been constructed by a prior owner. The buyer had inspected the dwelling prior to the purchase and discovered no defects. After moving in, the buyer became aware that sewage seeped into the basement when the toilets were flushed. The owner said that this defect had been present for years and that he had taken no steps to hide the facts from the buyer. The buyer paid for the necessary repairs and brought an appropriate action against theowner to recover his cost of repair. If the buyer wins, it will be because",The owner failed to disclose a latent defect.,The buyer made a proper inspection.,the situation constitutes a health hazard.,The owner breached the implied warranty of habitability and fitness for purpose.
a,Torts Trespass/Nuisance,"A woman's backyard, which is landscaped with expensive flowers and shrubs, is adjacent to a golf course. While a man was playing golf on the course, a thunderstorm suddenly came up. As the man was returning to the clubhouse in his golf cart, lightning struck a tree on the course, and the tree began to fall in the man's direction. In order to avoid being hit by the tree, the man deliberately steered his cart onto the woman's property, causing substantial damage to her expensive plantings. In an action by the woman against the man to recover damages for the harm to his plantings, the woman will","prevail, because, although occasioned by necessity, the man's entry onto the woman's property was for the man's benefit. ","prevail, for nominal damages only, because the man was privileged to enter the woman's property. ","not prevail, because the lightning was an act of God. ","not prevail, because the man's entry onto the woman's property was occasioned by necessity and therefore privileged. "
a,"Criminal Law & Procedure, Crimes","A man allowed his friend to borrow a debit card to buy a computer. When the friend refused to return the card during a later conversation in a bar, the man pointed a handgun at the friend, held his finger on the trigger, and said, ""Give it back!"" A bystander screamed and threw a beer bottle at the man. The bottle struck the man's hand and caused the gun to discharge, killing the friend instantly. The man was convicted of murder in a jurisdiction that follows the common law of homicide. On appeal, he argues that the evidence, which essentially set out the facts above, was insufficient to support a verdict of murder. Should the man's conviction be reversed?","No, because the evidence was sufficient to support a verdict of depraved-heart murder. ","No, because the evidence was sufficient to support a verdict of felony murder.","Yes, because the evidence showed that the man did not intentionally pull the trigger. ","Yes, because the evidence showed that the man's intent was not to kill the friend, but to take property from him under a claim of right. "
b,"Contracts, Common Law Contracts","Client consulted Lawyer about handling the sale of Client’s building, and asked Lawyer what her legal fee would be. Lawyer replied that her usual charge was $100 per hour, and estimated that the legal work on behalf of Client would cost about $5,000 at that rate. Client said, “Okay; let’s proceed with it,” and Lawyer timely and successfully completed the work. Because of unexpected title problems, Lawyer reasonably spent 75 hours on the matter and shortly thereafter mailed Client a bill for $7,500, with a letter itemizing the work performed and time spent. Client responded by a letter expressing his good-faith belief that Lawyer had agreed to a total fee of no more than $5,000. Client enclosed a check in the amount of $5,000 payable to Lawyer and conspicuously marked, “Payment in full for legal services in connection with the sale of Client’s building.” Despite reading the “Payment in full…” language, Lawyer, without any notation of protest or reservation of rights, endorsed and deposited the check to her bank account. The check was duly paid by Client’s bank. A few days later, Lawyer unsuccessfully demanded payment from Client of the $2,500 difference between the amount of her bill and the check, and now sues Client for that difference. What, if anything, can Lawyer recover from Client?","Nothing, because the risk of unexpected title problems in a real-property transaction is properly allocable to the seller’s attorney and thus to Lawyer in this case. ","Nothing, because the amount of Lawyer’s fee was disputed in good faith by Client, and Lawyer impliedly agreed to an accord and satisfaction. ","$2,500, because Client agreed to an hourly rate for as many hours as the work reasonably required, and the sum of $5,000 was merely an estimate. ","The reasonably value of Lawyer’s services in excess of $5,000, if any, because there was no specific agreement on the total amount of Lawyer’s fee. "
d,"Real Property, Easements, Covenants and Servitudes0","A man and a woman own adjacent parcels of land. On each of their parcels was a low-rise office building. The two office buildings were of the same height. Last year the man decided to demolish the low- rise office building on his parcel and to erect a new high-rise office building of substantially greater height on the parcel as permitted by the zoning and building ordinances. He secured all the governmental approvals necessary to pursue his project. As the man’s new building was in the course of construction, the woman realized that the shadows it would create would place her building in such deep shade that the rent she could charge for space in her building would be substantially reduced. The woman brought an appropriate action against the man to enjoin the construction in order to eliminate the shadow problem and for damages. The woman presented uncontroverted evidence that her evaluation as to the impact of the shadow on the fair rental value of her building was correct. There is no statute or ordinance (other than the building and zoning ordinances) that is applicable to the issues before the court. The court should",grant to the woman the requested injunction. ,"award the woman damages measured by the loss of rental value, but not an injunction.","grant judgment for the man, because he had secured all the necessary governmental approvals for the new building. ","grant judgment for the man, because the woman has no legal right to have sunshine continue to reach the windows of her building. "
c,"Torts, Intentional Torts","If the widow sues the developer for damages for emotional distress, will she prevail?","Yes, if the developer's action was extreme and outrageous.","Yes, because the widow was frightened and outraged. ","No, if the widow did not suffer emotional distress that was severe. ","No, if it was not the developer's purpose to cause emotional distress."
d,"Torts, Intentional Torts","If the widow asserts a claim based on misrepresentation against the developer, will she prevail?","Yes, if the developer knew he had no legal power of condemnation.","Yes, if the developer tried to take unfair advantage of a gross difference between himself and the widow in commercial knowledge and experience. ","No, if the developer's offer of $250,000 equaled or exceeded the market value of the widow's property. ","No, because the widow suffered no pecuniary loss."
a,"Criminal Law & Procedure, Crimes","A State employs the Model Penal Code or American Law Institute test for insanity, and requires the state to prove sanity, when it is in issue, beyond a reasonable doubt. At Defendant’s trial for murder, he pleaded insanity. The state put on an expert psychiatrist who had examined Defendant. He testified that, in his opinion, Defendant was sane at the time of the murder. Defendant’s attorney did not introduce expert testimony on the question of sanity. Rather, he presented lay witnesses who testified that, in their opinion, Defendant was insane at the time of the murder. At the end of the trial, each side moves for a directed verdict on the question of sanity. Which of the following correctly describes the judge’s situation?",She may grant a directed verdict for the defense if she believes that the jury could not find the prosecution to have proved sanity beyond a reasonable doubt. ,She may grant a directed verdict for the prosecution if she believes that Defendant’s witnesses on the insanity question are not believable. ,"She may not grant a directed verdict for the defense, because the state had expert testimony and the defense only lay witnesses. ",She may grant a directed verdict for the prosecution if she is convinced by their experts that Defendant was sane beyond a reasonable doubt. 
b,"Criminal Law & Procedure, Crimes","A man worked at a day-care center. At the center, one of the young charges often arrived with bruises and welts on his back and legs. A statute in the jurisdiction requires all day-care workers to report to the police cases where there is probable cause to suspect child abuse and provides for immediate removal from the home of any suspected child abuse victims. The man was not aware of this statute. Nevertheless, he did report the young charge’s condition to his supervisor, who advised him to keep quiet about it so the day-care center would not get into trouble for defaming a parent. About two weeks after the man first noticed the young charge’s condition, the young charge was beaten to death by his father. The man has been charged with murder in the death of the young charge. The evidence at trial disclosed, in addition to the above, that the child had been the victim of beatings by the father for some time, and that these earlier beatings had been responsible for the marks that the man had seen. The young charge’s mother had been aware of the beatings but had not stopped them because she was herself afraid of the young charge’s father. The man’s best argument that he is NOT guilty of murder is",he was not aware of the duty-to-report statute. ,he lacked the mental state necessary to the commission of the crime. ,his omission was not the proximate cause of death. ,"the day-care center, rather than the man, was guilty of the omission, which was sanctioned by its supervisory-level agent. "
a,"Torts, Negligence","A plumbing company hired a worker to work at various construction sites. The worker used his own truck to travel between the company's warehouse and the construction sites, but the company fitted the truck with a rack for carrying plumbing pipes. The company paid the worker for traveling between the warehouse and the construction sites, but not for his drive to and from work. Because the worker was required to haul pipes on his truck while driving between the warehouse and the construction sites, the company asked the worker, before hiring him, whether he had a valid driver's license. The worker represented that he did, although in fact his license had been suspended because he had been convicted of recklessly causing motor vehicle collisions. The company made no effort to verify the worker's representation. While driving to work one morning in his truck, the worker carelessly caused a collision in which a woman was injured. In her subsequent action against the plumbing company, based on a theory of negligent hiring, is the woman likely to prevail?","No, because the company's duty to use reasonable care in hiring a competent driver extended only to actions taken by the worker in the scope of his employment. ","No, because the worker was an independent contractor.","Yes, because the company fitted the worker's truck with a pipe rack.","Yes, because the company had a duty to ensure that its workers had valid driver's licenses. "
c,"Torts, Negligence","A patient who had suffered a severe fracture of her leg was treated by an orthopedist, who set the patient's leg and put it in a cast. When the leg continued to bother the patient six months later, she consulted a second orthopedist in the same town. The second orthopedist surgically inserted a pin to facilitate healing. The patient brought a malpractice action against the first orthopedist, claiming that he should have surgically inserted a pin at the time of initial treatment. The only evidence that the patient offered in support of her malpractice claim was the testimony of the second orthopedist, as follows: In response to the question ""Would you have inserted a pin initially?"" the second orthopedist testified, ""I personally would not have been satisfied that the leg would heal properly without a pin."" At the close of the patient's evidence, the first orthopedist moved for judgment as a matter of law. Should the motion be granted?","No, because the patient has introduced evidence that the first orthopedist failed to give the care that the second orthopedist would have provided. ","No, because the second orthopedist practices in the same town and field of specialty as the first orthopedist. ","Yes, because the patient has failed to introduce evidence that the first orthopedist's care fell below the professional standard of care. ","Yes, because the second orthopedist also treated the patient and is thus not sufficiently objective to offer expert testimony."
c,"Constitutional Law, Powers",Terrorists in a certain foreign country kidnapped the United States ambassador to that country. They threatened to kill her unless the President of the United States secured the release of an identified person who was a citizen of the foreign country and was held in a prison of a particular State in the United States pursuant to a valid conviction by that state. The President responded by entering into an agreement with the foreign country which provided that the foreign country would secure the release of the United States ambassador on a specified date in return for action by the President that would secure the release of the identified person held in the State prison. The President then ordered the governor of the State to release the prisoner in question. The governor refused. No federal statutes are applicable. Which of the following is the strongest constitutional argument for the authority of the President to take action in these circumstances requiring the governor of the State to release the prisoner?,The power of the President to conduct the foreign affairs of the United States includes a plenary authority to take whatever action the President deems wise to protect the safety of our diplomatic agents. ,"The power of the President to appoint ambassadors authorizes him to take any action that he may think desirable to protect them from injury because, upon appointment, those officials become agents of the President. ",The power of the President to negotiate with foreign nations impliedly authorizes the President to make executive agreements with them which prevail over state law. ,"The duty of the President to execute faithfully the laws authorizes him to resolve finally any conflicts between state and federal interests, making the determination of such matters wholly nonjusticiable. "
a,EvidenceImpeachment of Witnesses,"A man was charged with murder, and a witness testified for the prosecution. On cross- examination of the witness, the man seeks to elicit an admission that the witness was also charged with the same murder and that the prosecutor told her, ""If you testify against the man, we will drop the charges against you after the conclusion of the man's trial."" The evidence about the prosecutor's promise is","admissible, as proper impeachment of the witness. ","admissible, as an admission by an agent of a party-opponent.","inadmissible, because the law encourages plea bargaining. ","inadmissible, because the evidence is hearsay not within any exception. "
a,"Civil Procedure, Erie Doctrine","Lead plaintiff brought a Federal diversity jurisdiction class action against a group of insurers under Ohio law granting the recovery of interest on claims paid late by insurers. On motion by the insurer defendants, the Federal District Court refused to apply Ohio law and deny the class action in these cases, and instead applied Federal Rule of Civil Procedure 23 to permit the class action. On appeal, the Federal Appellate Court will:",Affirm the Federal District Court if it finds that Rule 23 merely provides a procedural vehicle for joining claims. ,Affirm the Federal District Court because FRCP 23 always applies to suits involving multiple plaintiffs. ,Reverse the Federal District Court because the Ohio law affects a substantive right. ,Reverse the Federal District Court because its ruling violates the Rules Enabling Act. 
d,Civil Procedure,"Plaintiff sued Defendant for personal injuries based on negligence. Defendant pleaded comparative negligence as a defense. The jury rendered a general verdict for Defendant. Eight months after the verdict and judgment were entered in Defendant’s favor, Defendant sues Plaintiff for negligence arising from the same incident. Defendant files a motion for partial summary judgment, claiming that the Plaintiff is estopped by the prior judgment from claiming he was not negligent. In deciding Defendant’s motion, the court, in a jurisdiction that follows rules identical to the Federal Rules of Civil Procedure, will:",Grant the motion on the basis of issue preclusion.,Grant the motion based on claim preclusion. ,Deny the motion based on lack of claim preclusion.,Deny the motion based on lack of issue preclusion.
a,"Real Property, RE Contract Issues","Seller owned a tract of land, improved with an aging four-story warehouse. The warehouse was built to the lot lines on all four sides. On the street side, recessed loading docks permitted semi-trailers to be backed in. After the tractors were unhooked, the trailers extended into the street and occupied most of one lane of the street. Over the years, as trailers became larger, the blocking of the street became even more severe. The municipality advised Seller that the loading docks could not continue to be used because the trailers blocked the street; it gave Seller 90 days to cease and desist. During the 90 days, Seller sold and conveyed the land by warranty deed for a substantial consideration to Buyer. The problem of the loading docks was not discussed in the negotiations. Upon expiration of the 90 days, the municipality required Buyer to stop using the loading docks. This action substantially reduced the value of the land. Buyer brought an appropriate action against Seller seeking cancellation of the deed and return of all monies paid. Such action should be based upon a claim of",misrepresentation.,breach of the covenant of warranty. ,failure of consideration.,mutual mistake.
d,"Evidence Relevance, Opinion","Plaintiff sued Defendant for fraud. After verdict for Plaintiff, Defendant talked with a juror about the trial. Defendant's motion for a new trial would be most likely granted if the juror is willing to testify that he voted for Plaintiff because he",misunderstood the judge's instructions concerning the standard of proof in a fraud case.,was feeling ill and needed to get home quickly.,relied on testimony that the judge had stricken and ordered the jury to disregard. ,learned from a court clerk that Defendant had been accused of fraud in several recent lawsuits.
d,"Criminal Law & Procedure, Crimes","Despondent over losing his job, a man drank all night at a bar. While driving home, he noticed a car following him and, in his intoxicated state, concluded he was being followed by robbers. In fact, a police car was following him on suspicion of drunk driving. In his effort to get away, the man sped through a stop sign and struck and killed a pedestrian. He was arrested by the police. The man is prosecuted for manslaughter. He should be","acquitted, because he honestly believed he faced an imminent threat of death or severe bodily injury.","acquitted, because his intoxication prevented him from appreciating the risk he created.","convicted, because he acted recklessly and in fact was in no danger. ","convicted, because he acted recklessly and his apprehension of danger was not reasonable. "
